comm_code,comm_name,median_assessed_value,assessment_class,service_count,service_rank,total_crime_2024,safety_rank,affordability_rank,overall_score,overall_rank
SPR,SPRUCE CLIFF,362000.0,Low,2,6,40.0,70,15,91,1
RUT,RUTLAND PARK,398500.0,Low,1,27,25.0,47,18,92,2
RRC,RICARDO RANCH,73000.0,Low,0,113,0.0,1,1,115,3
LEB,LEWISBURG,146750.0,Low,0,113,0.0,1,2,116,4
KSH,KEYSTONE HILLS,170000.0,Low,0,113,0.0,1,3,117,5
PAT,PATTERSON,510500.0,Low,1,27,31.0,59,43,129,6
GAG,GARRISON GREEN,255000.0,Low,0,113,7.0,10,8,131,7
CED,CEDARBRAE,535250.0,Medium,2,6,39.0,68,58,132,8
BDO,BONAVISTA DOWNS,618750.0,Medium,1,27,8.0,13,94,134,9
PAL,PALLISER,545500.0,Medium,1,27,26.0,49,63,139,10
HKS,HOTCHKISS,194750.0,Low,0,113,15.0,25,4,142,11
ALP,ALPINE PARK,270000.0,Low,0,113,12.0,20,11,144,12
RAN,RANCHLANDS,531250.0,Medium,2,6,50.0,87,56,149,13
WND,WINDSOR PARK,265500.0,Low,1,27,69.0,116,9,152,14
NHV,NORTH HAVEN,652500.0,Medium,1,27,11.0,17,109,153,15
QLD,QUEENSLAND,545000.0,Medium,1,27,38.0,66,62,155,16
DRN,DEER RUN,588000.0,Medium,1,27,27.0,51,79,157,17
RID,RIDEAU PARK,485500.0,Low,0,113,8.0,13,36,162,18
GRE,GREENWOOD/GREENBRIAR,458500.0,Low,0,113,15.0,25,26,164,19
CLI,CLIFF BUNGALOW,365500.0,Low,1,27,73.0,121,16,164,19
LPK,LINCOLN PARK,222000.0,Low,0,113,28.0,52,5,170,21
UND,UNIVERSITY DISTRICT,371750.0,Low,0,113,21.0,43,17,173,22
ERL,ERLTON,413500.0,Low,0,113,23.0,45,19,177,23
SOC,SOUTH CALGARY,483500.0,Low,2,6,94.0,137,35,178,24
BRA,BRAESIDE,552000.0,Medium,1,27,50.0,87,68,182,25
SNA,SUNALTA,253000.0,Low,2,6,125.0,170,7,183,26
ERI,ERIN WOODS,456000.0,Low,1,27,93.0,134,24,185,27
WWO,WOLF WILLOW,522500.0,Low,0,113,15.0,25,49,187,28
CIT,CITADEL,666000.0,Medium,1,27,25.0,47,115,189,29
BNK,BANKVIEW,269500.0,Low,1,27,108.0,154,10,191,30
COA,COACH HILL,536500.0,Medium,0,113,12.0,20,59,192,31
FAI,FAIRVIEW,596500.0,Medium,1,27,48.0,82,84,193,32
ABB,ABBEYDALE,462000.0,Low,1,27,97.0,141,28,196,33
GRV,GREENVIEW,286500.0,Low,0,113,42.0,77,12,202,34
MRN,MORAINE,603250.0,Medium,0,113,0.0,1,90,204,35
RVW,RANGEVIEW,552500.0,Medium,0,113,15.0,25,69,207,36
HIW,HIGHWOOD,650500.0,Medium,1,27,41.0,73,107,207,36
RIV,RIVERBEND,599000.0,Medium,1,27,57.0,99,85,211,38
MPL,MAPLE RIDGE,735500.0,Medium,1,27,20.0,42,143,212,39
MID,MIDNAPORE,564000.0,Medium,1,27,64.0,113,72,212,39
CAM,CAMBRIAN HEIGHTS,768500.0,Medium,1,27,19.0,37,153,217,41
CPF,COPPERFIELD,522500.0,Low,1,27,100.0,144,49,220,42
COU,COUNTRY HILLS,501500.0,Low,0,113,39.0,68,40,221,43
WGT,WESTGATE,708000.0,Medium,1,27,38.0,66,131,224,44
FHT,FOREST HEIGHTS,433500.0,Low,1,27,135.0,175,22,224,44
